1,"Uعندما يصاب القروي بالإسهال، يقوم بإرجاع مياه المجاري المحلية.U"
2,"Uالقروي يمكنه أن يدق مسمارًا في الحائط بركلة دائرية.U"
3,"Uعندما كان القروي في الخامسة من عمره، ذهب إلى المركز التجاري ليرى سانتا. سأل سانتا ""ماذا تريد يا فتى؟ مجموعة قطار؟ دراجة؟"" رد القروي ""لا يا سانتا، أريد قاذفة صواريخ"".U"
4,"Uالقروي يحلق باستخدام سكين صيد. ""الحلاقة"" تتكون من قطع فتحة فم جديدة كل صباح. هكذا هو صلابة لحيته.U"
5,"Uالقروي لا ينام. هو ينتظر.U"
6,"Uالقروي عد إلى ما لا نهاية. مرتين.U"
8,"Uالقروي لا يرتدي ساعة. هو يقرر الوقت.U"
9,"Uالقروي يمكنه القسمة على صفر.U"
11,"Uالقروي لا يحتاج إلى GPS. العالم يتكيف معه.U"
12,"Uالقروي لا يصاب بالبرد. البرد هو الذي يصاب بالقروي.U"
13,"Uعندما ينظر القروي في المرآة، تتحطم المرآة من الخوف.U"
14,"Uالقروي تم القبض عليه مرة بدون تذكرة في القطار. تم تغريم المفتش بمبلغ 110 دولار.U"
15,"Uالقروي عضّ أفعى مرة. بعد أيام من الألم المبرح، ماتت الأفعى.U"
16,"Uعندما يدخل القروي غرفة، يهرب الظلام للاختباء.U"
17,"Uالقروي يمكنه أن يطرق بابًا دوارًا.U"
18,"Uالقروي بنى رجل ثلج من المطر مرة.U"
19,"Uالقروي لا يقرأ الكتب. هو يحدق بها حتى تعطيه المعلومات.U"
20,"Uالقروي يمكنه فك بيضة.U"
21,"Uالقروي لا يفعل الغسيل. الأوساخ تخاف من الالتصاق به.U"
22,"Uالقروي هزم الشمس في مسابقة تحديق مرة.U"
23,"Uالقروي لا يحتاج إلى مظلة. الأرض تتجنب مواجهته.U"
24,"Uالقروي يمكنه سماع لغة الإشارة.U"
25,"Uالقروي طلب مرة بيغ ماك في برجر كينغ—وحصل عليه.U"
26,"Uعندما يقوم القروي بتمرين الضغط، هو لا يرفع نفسه؛ هو يدفع الأرض للأسفل.U"
27,"Uالقروي لا يحتاج إلى واي فاي. الإنترنت يأتي إليه.U"
